,Hashtag,Count
3250,kratomsaveslives,6
238,healthinnovations,6
3165,open247,6
121,indiegroup,6
3377,cripthevote,6
422,ra,6
5776,3dprinting,6
1877,indianrecipe,6
3744,onlinepregabalin,6
3089,deaths,6
6685,medtips,6
3415,plausibility,6
256,pharmanews,6
3393,veterinarian,6
260,fail,6
2928,arm2017,5
996,rsdprobs,5
3202,postop,5
2751,oppharma,5
5214,vettech,5
1120,tcot,5
2719,johnnies,5
2679,policecustody,5
3267,acupuncture,5
8211,sot_jc,5
1089,neuropsychopharma,5
5019,lauruslabs,5
2650,aud,5
887,lamictal,5
2631,braininjury,5
2621,abim,5
2976,5,5
3194,intractablepain,5
1081,pa,5
5209,isleofwight,5
2781,drugsdontwork,5
3073,breaking,5
3552,archibusnexus2018,5
6616,iolcp,5
1050,ppt,5
3135,zopiclone,5
2851,editorschoice,5
3488,medlearn,5
3370,allodynia,5
1172,lyricawithdrawal,5
3156,north,5
3416,supremecourt,5
2829,saferfromharm,5
3404,ssri,5
7833,ankleshwar,5
932,collaboration,5
3581,lgbt,5
3090,prescriptiondrug,5
2836,cpps,5
7618,benzobrains,5
1182,psych,5
7206,asrafall20,5
4468,naps2019,5
4464,m3india,5
1996,msers,5
1972,mesh,5
1940,autofollow,5
1939,autofollowback,5
4095,dogsofinstagram,5
4116,chemistry,5
1895,花見あるある,5
5857,propaganda,5
7156,headneckcancer,5
5818,texas,5
1819,pharmamktnet,5
7245,magplanet,5
7244,styleupnow,5
5929,my600lblife,5
1746,tka,5
7207,asraworldwide2020,5
4163,mjainsight,5
1722,medsafety,5
4170,drugaddiction,5
7243,myhealthfunda,5
4183,humanexperimentation,5
1562,neuropain,5
4271,addictionmedicine,5
1686,facilitymanagement,5
4269,stimulants,5
4268,anticholinergics,5
4203,sideeffect,5
5678,ecn,5
4055,actuallyautistic,5
4018,cds,5
3752,suicideprevention,5
2399,fibromylagia,5
3763,pregabalingeneric,5
3764,buypregabalinonline,5
2509,suboxone,5
2490,mania,5
2486,tkr,5
4846,cpdd19,5
6847,opioidrxs,5
4793,eye,5
3774,nhsdfm,5
1246,depakote,5
2409,nutrition,5
7242,mypressnews,5
1268,sleepmedicine,5
6322,pneumonia,5
2395,cns,5
2143,warning,5
1291,addictions,5
5517,otilt,5
2322,citalopram,5
1327,tadalis,5
3859,sleepingpills,5
6870,tweetorial,5
4601,auspainsoc,5
2225,chronicfatigue,5
1380,lbp,5
3921,paris,5
4566,healthylifestyle,5
4553,signposting,5
1412,medschool,5
1416,projectecho,5
5406,dnd,5
4119,systematicreview,5
196,today,5
178,teva,5
478,medcomms,5
113,investing,5
310,microzide,5
223,autism,5
629,cdnpoli,5
586,irritablebowelsyndrome,5
27,x2018,5
777,toronto,5
419,md,5
572,sleepy,5
100,boston,5
657,ci1008,5
206,patient,5
386,socialmedia,5
666,us,5
473,cnn,5
376,123kletsen,5
727,ugh,5
610,mood,5
559,unitedkingdom,5
250,advertising,5
763,pfe,5
616,drugabuse,5
453,painmedication,5
8038,pharmacompany,4
6643,gaslighting,4
805,complications,4
8037,pharmaproducts,4
3184,marketshare,4
8039,gujarat,4
4540,socialnetwork,4
3183,cio,4
456,military,4
3181,gapapentin,4
1051,psoriaticarthritis,4
1867,biz,4
3195,dissertation,4
3211,toolate,4
4538,agenparlenglish,4
395,heart,4
795,approval,4
2914,chronicillnesswarrior,4
3344,nortriptyline,4
390,pethealth,4
3332,addictive,4
662,trucchi,4
6561,romeibschat,4
3154,spending,4
661,giochi,4
7585,pregabalinwithdrawal,4
4759,herpeszoster,4
3253,overprescribing,4
1818,prison,4
6810,gabapentintest,4
3155,greater,4
1052,psa,4
3146,supponc,4
627,cdnvetsadvocacy,4
4721,vision,4
6753,fuckcancer,4
5541,dermworld,4
1072,diseases,4
3016,mycaringfriends,4
5548,fmf2019,4
3003,suicideduetopain,4
2978,gabapetin,4
4706,stopkillingme,4
4702,scoliosis,4
624,cdnvets,4
3041,wtf,4
6730,neuropathytreatment,4
434,endosucks,4
5519,acep19,4
4593,geniculateneuralgia,4
4680,fakeopioidcrisis,4
1090,mdart,4
5568,massspecpub,4
628,canadianarmy,4
7502,askrenal,4
5599,gbjournal,4
428,insomniac,4
1917,seroquel,4
1106,monsterfollow,4
1111,auspol,4
642,update,4
6673,superseniorcatsclub,4
70,spmag,4
3008,exercise,4
8066,courtcorner,4
3424,poison,4
382,xnpt,4
3765,lyricaonlineshop,4
1507,infringement,4
3858,tranquillisers,4
3856,psychotropics,4
3820,disabledveterans,4
6224,thewiderwiserview,4
3784,micropoetry,4
3766,pregabalinbuyonline,4
3753,suicideawareness,4
3867,selfcare,4
225,sigh,4
1299,bpdchat,4
6264,askdrh,4
1569,eapcct2014,4
700,hope,4
3719,iot,4
1576,settlement,4
3863,suicidedue2pain,4
1493,familypractice,4
5737,worksinmice,4
1441,risperdal,4
1407,13,4
6050,onedayatatime,4
1411,pharm,4
4030,controlled,4
4028,medicinessafety,4
746,painanesthetics,4
4100,life,4
735,hypersensitivity,4
1492,drugmisuse,4
4131,endourpain,4
4132,iplaw,4
729,pubplan,4
4162,theprojecttv,4
302,thyroid,4
1491,spinalsurgery,4
4178,radonc,4
6279,vulnerable,4
1285,acr2013,4
332,newyork,4
1216,tamoxifen,4
3508,buprenorphine,4
7970,cumbria,4
7971,carlisle,4
6433,bmjinfographic,4
1694,twvt,4
5801,depressants,4
1695,analgesics,4
1214,caffeine,4
3691,relief,4
3457,workplace,4
3453,valproate,4
3451,medsworkedforme,4
3429,biorxiv,4
1038,interstitialcystitis,4
3421,cpd,4
3405,bipolardisorder,4
3513,qualityoflife,4
3516,pets,4
1677,anzspm14,4
1676,themoreyouknow,4
1591,vk,4
1594,dailyquestion,4
4314,therapeutics,4
1271,economy,4
7725,voidwatch2021,4
3660,bridgingthegap,4
3658,prop,4
5842,uncategorized,4
1622,hydroxyzine,4
1637,ultram,4
779,linuxjobs,4
6357,analgesic,4
3571,polypharm,4
684,neurome,4
355,doryx,4
608,cipn,4
1875,segpac,4
2569,bud,4
2824,usa,4
2085,drugalert,4
2776,nice,4
2411,nursepractitioner,4
917,obama2012,4
2632,amwriting,4
5270,tryhomeopathy,4
2384,mirtazapine,4
2207,sfakianakis,4
2788,physio,4
2206,orl,4
2792,asraspring17,4
2797,northernireland,4
6963,psychopharmtips,4
2156,diabetics,4
2798,belfast,4
6903,ggr,4
2066,tbt,4
6902,telemedicine,4
6901,neurotwitter,4
2203,ourpainworld,4
2813,tapna17,4
523,china,4
2771,physiatry,4
4970,veterinarymedicine,4
2678,clinicalresearch,4
2129,irishmed,4
2234,baddrugs,4
529,pm101,4
905,sad,4
2241,epilepsyawareness,4
498,businessnews,4
7131,meawarenesshour,4
2457,medicboard,4
2497,pulseviews,4
2677,hrt,4
2445,pruritus,4
164,spondylitis,4
2111,memory,4
2137,ent,4
58,ethics,4
2097,ortho,4
2095,heartfailure,4
7391,handsurgery,4
63,hcr,4
5385,catsofinstagram,4
4989,asprescribed,4
2127,coffee,4
2620,spasm,4
2030,fibromyalgiaproblems,4
2037,papastheme,4
2340,pharmacylife,4
2613,senior,4
5002,emergencymedicine,4
2172,cough,4
5167,fnd,4
7057,topdrugs,4
552,s,4
2859,milano,4
5322,tired,4
6857,fibroadventures,4
2872,meditation,4
4785,bmjresearch,4
6852,posh,4
2193,google,4
6851,hive,4
460,tfb,4
826,medscape,4
466,yale,4
175,r,4
5462,palsporch,4
583,chemist,4
6884,targetedindividuals,4
4994,adopt,4
6871,livertwitter,4
550,hot,4
5027,invagen,4
2197,lamotrigine,4
2047,wecare,4
6348,ataxia,3
353,sjogrens,3
330,nasdaq,3
3553,horizantsolutions,3
3644,newottawapainladder,3
3650,opioidaddiction,3
524,politics,3
1621,lunesta,3
6320,stockmarket,3
101,laboratory,3
703,gratitude,3
6271,hapc,3
3738,hemodialysis,3
3545,tuesdaythoughts,3
3538,stigma,3
6415,pharmiweb,3
7762,gabaa,3
7763,akatesia,3
3624,buildsystems,3
7089,pandemic,3
7073,healthura,3
6400,soberlife,3
6278,disabilities,3
2208,postoperative,3
2209,otorhinolaryngologyalexandrosgsfakianakis,3
3668,neurotropin,3
105,fraud,3
3677,sppmchat,3
3682,primarycareshow,3
3599,pronociception,3
107,rico,3
2537,bio,3
6301,hospital,3
2214,justalupieday,3
3641,casestudy,3
7241,reproductive,3
2534,neurons,3
1581,education,3
2560,fibromyalgiaawareness,3
3569,bccww,3
2548,gastroenterology,3
6280,imvisibledisabilities,3
59,ff,3
99,hcmktg,3
2544,sciencedaily,3
2884,cre,3
7764,neurotoxin,3
1458,postmortem,3
7258,postsurgicalpain,3
1447,warrior,3
280,cytotec,3
283,quit,3
284,cheap,3
2288,lbbcchat,3
2374,justsayno,3
1459,human,3
7837,acmtnjc,3
1461,menshealth,3
6123,vasculitis,3
6131,ssgim20,3
1466,legalize,3
296,high,3
6136,hotflushes,3
6137,ccc49,3
7202,doc,3
1443,wellbutrin,3
6254,painkillersdontexist,3
4032,youtube,3
4060,basicscience,3
6031,feline,3
4052,ssaconf2018,3
4047,annalembke,3
751,phase,3
556,blogboost,3
4040,digitalpharmacy,3
749,health2go,3
2362,steptherapy,3
2331,np,3
2303,hpm16,3
7251,dryeye,3
4022,addicted,3
1427,lumbar,3
6077,story,3
1433,technology,3
3906,hematology,3
2392,cme,3
3902,pharmacystudent,3
3783,5lines,3
1530,chronicdisease,3
2567,multimodalanalgesia,3
1535,addict,3
561,narcotics,3
1539,pharmd,3
1541,aps14,3
2455,bodypain,3
3782,tanka,3
546,mental,3
1547,android,3
318,problems,3
708,fingerscrossed,3
3757,mswarrior,3
2470,iatrogenic,3
324,nyc,3
2472,illness,3
6203,jfmsnews,3
7143,prn,3
1523,mhealth,3
6184,covidー19,3
1478,nausea,3
6151,assetmgmt,3
2400,personalinjury,3
7174,gravidarum,3
7173,hyperemesis,3
2410,mhchat,3
2268,care,3
1504,zydus,3
2266,bone,3
2438,forensic,3
3860,neurotin,3
715,chronicallyawesome,3
303,trails,3
2441,autopsy,3
2256,bgsconf,3
3800,genericlyrica,3
3466,herpes,3
3518,crpscks,3
3132,buds,3
6914,smallfiberneuropathy,3
83,bnet,3
6681,bangabapentin,3
1896,ifma,3
6913,ilads2020,3
1897,secondmedicaluse,3
3119,burnjc,3
3107,britain,3
486,boots,3
2786,orthopaedic,3
636,gi,3
1911,statins,3
427,cancersucks,3
2791,shoutoutyourmedchange,3
1920,insidehealth,3
3131,gabby,3
3134,review,3
6645,antiepileptics,3
416,aanam,3
6955,suffering,3
7383,ivermectin,3
7545,calicocrew,3
2743,ckd,3
2098,awareness,3
3182,degenerativediscdisease,3
3178,wrong,3
3170,abortion,3
3161,t1d,3
6925,rapidcommunmassspectrom,3
4071,prereg,3
651,notreally,3
415,pdn,3
2089,effexor,3
3140,cdcguidelines,3
429,osteoporosis,3
3068,heath,3
3066,rtgnews,3
2800,orthopaedics,3
2988,epidemic,3
2852,gysurgery,3
604,5htp,3
449,carpaltunnelsyndrome,3
451,tbi,3
6866,olddog,3
6865,sickdog,3
2941,naloxone,3
1992,stoned,3
2927,pregab,3
2916,dispensinggp,3
2912,kieselsteinlawfirm,3
2003,monday,3
2903,pushdoctor,3
2010,marketresearchreports,3
2992,cognitive,3
2995,burn,3
7429,sciresearch,3
3028,cannabidiol,3
2806,cgs2017,3
6889,pedsicu,3
480,taurine,3
3030,techo,3
3029,used,3
2054,msproblems,3
3024,paincontrol,3
6757,germany,3
5177,abstinence,3
3017,teamgoodin,3
6879,scoopwilsonco,3
1961,ccg,3
7421,nerves,3
7428,howitworks,3
1854,wsmlondon15,3
1848,healio,3
90,mkt,3
6840,rcm,3
1721,kidney,3
6477,brainkidney2020,3
2157,pnp,3
368,facts,3
508,bristol,3
3419,hospice,3
6489,vettwitter,3
3413,invention,3
3411,substanceabuse,3
2654,propranolol,3
6499,dogswithdignity,3
6500,cleburnetexas,3
6501,greenlippedmussels,3
6502,glucosaminechondroitin,3
6503,hugsandkisses,3
2630,concussion,3
1714,bigfarm,3
2708,contemporary,3
6455,540,3
2575,capsaicin,3
3515,oilpainting,3
2577,autchat,3
2584,nothanks,3
3506,physiotherapy,3
2177,qutenza,3
2599,euphoric,3
2607,oa,3
3500,occipitalneuralgia,3
3497,phenibut,3
3496,beritawajo,3
1704,sick,3
3481,nsaid,3
6451,migrainechat,3
6454,360,3
6504,seniordogsofinstagram,3
2661,medicina,3
6505,dallaspetsalive,3
6506,fromm,3
3273,pharmacology2017,3
3266,snakeoil,3
